059, 1540
048, 1541
100, 1542
001, 1543
044, 1544
033, 1545
080, 1546
031, 1547
047, 1548
009, 1549
054, 1550
068, 1551
064, 1552
081, 1553
025, 1554
015, 1555
008, 1556
067, 1557
077, 1558
013, 1559
053, 1560
056, 1561
045, 1562
500, 1563
065, 1564
028, 1565
079, 1566
066, 1567
010, 1568
022, 1569
016, 1570
049, 1571
085, 1572
030, 1573
036, 1574
073, 1575
041, 1576
018, 1577
058, 1578
003, 1579
057, 1580
050, 1581
006, 1582
060, 1583
012, 1584
070, 1585
011, 1586
063, 1587
007, 1588
005, 1589
051, 1590
071, 1591
084, 1592
024, 1593
034, 1594
027, 1595
017, 1596
083, 1597
014, 1598
035, 1599
039, 1600
042, 1601
069, 1602
029, 1603
043, 1604
